=== Part A: band-consistent alternating branches, n=2, R<= 100.0 ===
  sup R=   3.247 D=   61.146854 band=True r=2.202193 a_scaled=-1.450e+02 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  sup R=   3.162 D=   60.896228 band=True r=2.181251 a_scaled=-1.448e+02 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  sup R=   3.078 D=   60.637782 band=True r=2.160005 a_scaled=-1.447e+02 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  sup R=   2.993 D=   60.371080 band=True r=2.138447 a_scaled=-1.445e+02 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  sup R=   2.909 D=   60.095645 band=True r=2.116566 a_scaled=-1.444e+02 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  sup R=   2.824 D=   59.810961 band=True r=2.094349 a_scaled=-1.442e+02 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  sup R=   2.740 D=   59.516466 band=True r=2.071786 a_scaled=-1.441e+02 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  sup R=   2.655 D=   59.211547 band=True r=2.048863 a_scaled=-1.440e+02 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  sup R=   2.571 D=   58.895536 band=True r=2.025568 a_scaled=-1.438e+02 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  sup R=   2.486 D=   58.567697 band=True r=2.001886 a_scaled=-1.437e+02 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  sup R=   2.402 D=   58.227223 band=True r=1.977802 a_scaled=-1.435e+02 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  sup R=   2.317 D=   57.873223 band=True r=1.953301 a_scaled=-1.434e+02 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  sup R=   2.233 D=   57.504714 band=True r=1.928364 a_scaled=-1.433e+02 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  sup R=   2.148 D=   57.120601 band=True r=1.902975 a_scaled=-1.431e+02 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  sup R=   2.064 D=   56.719667 band=True r=1.877113 a_scaled=-1.430e+02 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  sup R=   1.979 D=   56.300548 band=True r=1.850759 a_scaled=-1.429e+02 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  sup R=   1.895 D=   55.861715 band=True r=1.823889 a_scaled=-1.428e+02 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  sup R=   1.810 D=   55.401440 band=True r=1.796479 a_scaled=-1.427e+02 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  sup R=   1.726 D=   54.917762 band=True r=1.768504 a_scaled=-1.426e+02 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  sup R=   1.641 D=   54.408446 band=True r=1.739936 a_scaled=-1.425e+02 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  sup R=   1.557 D=   53.870925 band=True r=1.710744 a_scaled=-1.424e+02 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  sup R=   1.472 D=   53.302235 band=True r=1.680895 a_scaled=-1.423e+02 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  sup R=   1.388 D=   52.698924 band=True r=1.650354 a_scaled=-1.423e+02 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  sup R=   1.303 D=   52.056940 band=True r=1.619081 a_scaled=-1.423e+02 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  sup R=   1.219 D=   51.371484 band=True r=1.587031 a_scaled=-1.423e+02 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  sup R=   1.134 D=   50.636808 band=True r=1.554159 a_scaled=-1.424e+02 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  sup R=   1.050 D=   49.845948 band=True r=1.520410 a_scaled=-1.425e+02 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  sup: violations (r<=1 or a>=0): 0
  inf R=   4.000 D=    9.023038 band=True r=1.142677 a_scaled=-3.812e+01 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  inf R=   4.500 D=    7.798446 band=True r=1.127075 a_scaled=-3.419e+01 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  inf R=   6.949 D=    4.552089 band=True r=1.082094 a_scaled=-2.298e+01 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  inf R=   9.397 D=    3.133001 band=True r=1.060147 a_scaled=-1.746e+01 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  inf R=  11.846 D=    2.353985 band=True r=1.047227 a_scaled=-1.416e+01 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  inf R=  14.295 D=    1.867848 band=True r=1.038753 a_scaled=-1.195e+01 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  inf R=  16.744 D=    1.538311 band=True r=1.032783 a_scaled=-1.036e+01 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  inf R=  19.192 D=    1.301598 band=True r=1.028362 a_scaled=-9.167e+00 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  inf R=  21.641 D=    1.124106 band=True r=1.024960 a_scaled=-8.230e+00 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  inf R=  24.090 D=    0.986542 band=True r=1.022266 a_scaled=-7.476e+00 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  inf R=  26.538 D=    0.877085 band=True r=1.020081 a_scaled=-6.856e+00 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  inf R=  28.987 D=    0.788110 band=True r=1.018275 a_scaled=-6.337e+00 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  inf R=  31.436 D=    0.714489 band=True r=1.016759 a_scaled=-5.895e+00 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  inf R=  33.885 D=    0.652654 band=True r=1.015468 a_scaled=-5.514e+00 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
