=== Part A: band-consistent alternating branches, n=3, R<= 30.0 ===
  sup R=   3.331 D=   98.615512 band=True r=2.164756 a_scaled=-2.322e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup R=   3.247 D=   98.038977 band=True r=2.139552 a_scaled=-2.317e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup R=   3.162 D=   97.443868 band=True r=2.114026 a_scaled=-2.312e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup R=   3.078 D=   96.829136 band=True r=2.088171 a_scaled=-2.307e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup R=   2.993 D=   96.193643 band=True r=2.061978 a_scaled=-2.301e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup R=   2.909 D=   95.536157 band=True r=2.035442 a_scaled=-2.296e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup R=   2.824 D=   94.855337 band=True r=2.008554 a_scaled=-2.290e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup R=   2.740 D=   94.149722 band=True r=1.981308 a_scaled=-2.284e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup R=   2.655 D=   93.417718 band=True r=1.953695 a_scaled=-2.279e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup R=   2.571 D=   92.657579 band=True r=1.925709 a_scaled=-2.273e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup R=   2.486 D=   91.867391 band=True r=1.897342 a_scaled=-2.267e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup R=   2.402 D=   91.045048 band=True r=1.868587 a_scaled=-2.261e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup R=   2.317 D=   90.188223 band=True r=1.839439 a_scaled=-2.255e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup R=   2.233 D=   89.294342 band=True r=1.809890 a_scaled=-2.248e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup R=   2.148 D=   88.360547 band=True r=1.779936 a_scaled=-2.242e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup R=   2.064 D=   87.383651 band=True r=1.749571 a_scaled=-2.236e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup R=   1.979 D=   86.360088 band=True r=1.718791 a_scaled=-2.230e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup R=   1.895 D=   85.285852 band=True r=1.687595 a_scaled=-2.223e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup R=   1.810 D=   84.156420 band=True r=1.655981 a_scaled=-2.217e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup R=   1.726 D=   82.966663 band=True r=1.623950 a_scaled=-2.210e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup R=   1.641 D=   81.710735 band=True r=1.591505 a_scaled=-2.204e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup R=   1.557 D=   80.381930 band=True r=1.558653 a_scaled=-2.197e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup R=   1.472 D=   78.972508 band=True r=1.525405 a_scaled=-2.191e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup R=   1.388 D=   77.473477 band=True r=1.491776 a_scaled=-2.185e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup R=   1.303 D=   75.874304 band=True r=1.457789 a_scaled=-2.179e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup R=   1.219 D=   74.162548 band=True r=1.423473 a_scaled=-2.173e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup R=   1.134 D=   72.323367 band=True r=1.388870 a_scaled=-2.167e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup R=   1.050 D=   70.338870 band=True r=1.354033 a_scaled=-2.162e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup: violations (r<=1 or a>=0): 0
  inf R=   4.000 D=    9.029337 band=True r=1.043844 a_scaled=-5.225e+01 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  inf R=   4.500 D=    7.507686 band=True r=1.036108 a_scaled=-4.604e+01 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  inf R=   5.154 D=    6.059027 band=True r=1.028803 a_scaled=-3.970e+01 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  inf R=   5.808 D=    5.009651 band=True r=1.023562 a_scaled=-3.478e+01 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  inf R=   6.462 D=    4.222708 band=True r=1.019668 a_scaled=-3.085e+01 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  inf R=   7.115 D=    3.615903 band=True r=1.016692 a_scaled=-2.765e+01 f/(a x^2)=[np.float64(1.0), np.float64(0.9998)]
  inf R=   7.769 D=    3.137161 band=True r=1.014363 a_scaled=-2.500e+01 f/(a x^2)=[np.float64(1.0), np.float64(0.9998)]
  inf R=   8.423 D=    2.752144 band=True r=1.012504 a_scaled=-2.276e+01 f/(a x^2)=[np.float64(1.0), np.float64(0.9998)]
  inf R=   9.077 D=    2.437413 band=True r=1.010995 a_scaled=-2.086e+01 f/(a x^2)=[np.float64(1.0), np.float64(0.9998)]
  inf R=   9.731 D=    2.176503 band=True r=1.009752 a_scaled=-1.922e+01 f/(a x^2)=[np.float64(1.0), np.float64(0.9998)]
  inf R=  10.385 D=    1.957553 band=True r=1.008716 a_scaled=-1.780e+01 f/(a x^2)=[np.float64(1.0), np.float64(0.9998)]
  inf R=  11.038 D=    1.771834 band=True r=1.007841 a_scaled=-1.656e+01 f/(a x^2)=[np.float64(1.0), np.float64(0.9998)]
  inf R=  11.692 D=    1.612801 band=True r=1.007097 a_scaled=-1.546e+01 f/(a x^2)=[np.float64(1.0), np.float64(0.9998)]
  inf R=  12.346 D=    1.475461 band=True r=1.006457 a_scaled=-1.449e+01 f/(a x^2)=[np.float64(1.0), np.float64(0.9998)]
  inf R=  13.000 D=    1.355951 band=True r=1.005902 a_scaled=-1.362e+01 f/(a x^2)=[np.float64(1.0), np.float64(0.9998)]
  inf R=  13.654 D=    1.251243 band=True r=1.005419 a_scaled=-1.283e+01 f/(a x^2)=[np.float64(1.0), np.float64(0.9998)]
